Location Name,Official Location Name,Long,Lat,,Homes of all time list (from FB June 10th),Current homes list (from FB June 10th)
"""Kali Htaw elementry village school"",",,,,,,
"""Iwady School"",",,,,,,
"""Institute of Sports and Physical Education."",",Institute of Sports and Physical Education Yangon,16.8165779,96.1652773,,,
"""Institute of Sports & Physical Education?"",",Institute of Sports and Physical Education Yangon,16.8165779,96.1652773,,,
"""IngMei Pannchan Community, ShwePyiTha"",",,,,,,
"""Htun Htun Home"",",,,,,,
"""Htun Htun (eagle) Home"",",,,,,,
"""Htun Home"",",,,,,,
"""Hope Home"",",,,,,,
"""Home with 9 children"",",,,,,,
"""home of Zaw Zaw"",",,,,,,
"""Home of Light"",",,,,,,
"""home of Ebenezer"",",,,,,,
"""Home of Ebanaza"",",,,,,,
"""Home in Kachin State"",",,,,,,
"""Hmawbi, Myanmar"",",,,,,,
"""Hmawbi camp site"",",,,,,,
"""Hlegu Cluster"",",,,,,,
"""high school at Pyin Oo Lwin�"",",,,,,,
"""Hakha, the capital city of Chin State"",",,,,,,
"""Grace-2 Home"",",,,,,,
"""Grace Refuge"",",,,,,,
"""Grace Home"",",Grace Children Home,20.5287714,99.9323662,,,
"""Grace Family Home, Township of Dala"",",Grace Children Home,20.5287714,99.9323662,,,
"""Grace Family Children Home"",",Grace Children Home,20.5287714,99.9323662,,,
"""Grace Children Home"",",Grace Children Home,20.5287714,99.9323662,,,
"""Grace Care Children Home"",",Grace Children Home,20.5287714,99.9323662,,,
"""Grace Care Children Home Emmanuel Children Home Noble Children Home"",",,,,,,
"""Gong Ging Suk Home"",",,,,,,
"""Gong Ging Suk Home, town of Tachilek located North Eastern Myanmar near to the Thai border"",",,,,,,
"""Gayuna"",",,,,,,
"""Gayuna Home"",",,,,,,
"""Garuna"",",,,,,,
"""Garuna Orphanage Home' located 3.5 hours by bus West of Yangon City in the town of Maupin."",",,,,,,
"""Garuna Orphanage Home, 2.5hr drive West of Yangon"",",,,,,,
"""Garuna Home"",",,,,,,
"""Future Star Shelter"",",,,,,,
"""Faith"",",,,,,,
"""Faith Home"",",,,,,,
"""Faith Home:"",",,,,,,
"""Faith Home, Loknu Child Care and Mother Bosom Home"",",,,,,,
"""Faith Home and Crown orphanage"",",,,,,,
"""Faith Children Home"",",,,,,,
"""Faith Children Home (The Host)"",",,,,,,
"""Emmenuel Home"",",,,,,,
"""Emmanuel"",",,,,,,
"""Emmanuel-II Home"",",,,,,,
"""Emmanuel-B Children Home"",",,,,,,
"""Emmanuel-2 Home"",",,,,,,
"""Emmanuel-2 Children Home"",",,,,,,
"""Emmanuel Home"",",,,,,,
"""Emmanuel children Home"",",,,,,,
"""Emmanual Home"",",,,,,,
"""Emanuel Home"",",,,,,,
"""Ebenezer"",",,,,,,
"""Ebenezer Orphange"",",,,,,,
"""Ebenezer new children home"",",,,,,,
"""Ebenezer Home"",",,,,,,
"""Ebenezer Children Home"",",,,,,,
"""Ebeneezer Home"",",,,,,,
"""Eagle"",",,,,,,
"""Eagle Home"",",,,,,,
"""Eagle Home, Bethelem Home, Lighthouse II Home and Emmanuel Home."",",,,,,,
"""Eagle Children Home"",",,,,,,
"""Eagle children Home (our host)"",",,,,,,
"""Dala township"",",,,,,,
"""Dala township, south of Yangon"",",,,,,,
"""Crown Orphange"",",,,,,,
"""Crown Orphanage"",",,,,,,
"""Crown orphanage""",,,,,,
"""Crown Orphan Home"",",,,,,,
"""Crown Home"",",,,,,,
"""Children Hospital, Yangon"",",,,,,,
"""children home of Bethlehem"",",,,,,,
"""Children Home of 'Love and Mercy'"",",,,,,,
"""children home for Ebenezer"",",,,,,,
"""Canaan"",",,,,,,
"""Canaan Orphange"",",,,,,,
"""Canaan Home"",",,,,,,
"""Canaan Home, Dala Township"",",,,,,,
"""Canaan Children Home"",",,,,,,
"""Buddhist Monastery School named 'Tin Zon Primary School'"",",,,,,,
"""Botelgone Village"",",,,,,,
"""BotelGone Village Primary School"",",,,,,,
"""Botel Gone Village School"",",,,,,,
"""Blessed Children Home"",",Blessed Children Home,21.7556986,99.466383,,,
"""Bethlehem-II Children Home"",",,,,,,
"""Bethlehem-B Children Home"",",,,,,,
"""Bethlehem Home"",",,,,,,
"""Bethlehem Children Home"",",,,,,,
"""Bethleham-2 Children Home"",",,,,,,
"""Bethleham Home"",",,,,,,
"""Bethel-II Children Home"",",,,,,,
"""Bethel-II Children Home:"",",,,,,,
"""Bethel-2 Home"",",,,,,,
"""Bethel-2 Children Home"",",,,,,,
"""Bethel Home"",",,,,,,
"""Bethel Family"",",,,,,,
"""Bethel Family Home"",",,,,,,
"""Bethel Children Home"",",,,,,,
"""Bethal Home"",",,,,,,
"""Bawathit"",",Bawahthit Children Home,17.295968,95.964659,,,
"""Bawathit Children Home"",",Bawahthit Children Home,17.295968,95.964659,,,
"""Bawahthit Children Home"",",Bawahthit Children Home,17.295968,95.964659,,,
"""Bathel Children Home"",",,,,,,
"""All 12 homes- homes named include Faith Home, Ebenezer Home, Canaan Children Home"",",,,,,,
"""Alexandra Primary School�"",",,,,,,
"""Alexandra Primary School"",",,,,,,
"""Abundant Life"",",Abundant Life Children Home,16.9589006,96.1145715,,,
"""Abundant Life Home"",",Abundant Life Children Home,16.9589006,96.1145715,,,
"""Abundant Life Children Home"",",Abundant Life Children Home,16.9589006,96.1145715,,,
"""Abundant Children Home"",",Abundant Life Children Home,16.9589006,96.1145715,,,
"""Abundance Life"",",Abundant Life Children Home,16.9589006,96.1145715,,,
"""8 childrens homes"",",,,,,,
"""3 huts for widows in Myammar"",",,,,,,
"""3 children Homes and 1 Widows Shelter."",",,,,,,
"""21 children home and 1 widow mission"",",,,,,,
"""2 villages of Zalun, Ayeyarwady state of Myanmar"",",Zalun,17.5270182,95.4532238,,,
"""180km West of Yangon in the Ayeyarwady Division after a 6 hour journey by car and 30min by boat."",",Ayeyarwady,17.0896816,94.0247974,,,
"""11 children homes"",",,,,,,
"""10 children homes"",",,,,,,
"""10 children homes and 1 widow home"",",,,,,,
"""""Solomon Free Tuition"""",",,,,,,
"""""Love and Mercy"" located 1 hour drive North West of the Yangon Airport."",",,,,,,
"""""Grace"" Orphanage"",",,,,,,
""""",",,,,,,
"""'Tin Zon Village Monastery School' located about 1.5 hour North of Yangon City Centre."",",,,,,,
"""'San Ching Hmi' village�"",",,,,,,
"""'Love & Mercy', 'Solomon Free Tuition' and 'Bethlehem',"",",,,,,,
